"§ø¨½¥N½X","¿¤¥«¥N½X.x","¿¤¥«¦WºÙ.x","¶mÂí¥«°Ï¥N½X.x","¶mÂí¥«°Ï¦WºÙ.x","§ø¨½¦WºÙ.x","X104§ß¾i¤ñ","X104§ß¥®¤ñ","X104§ß¦Ñ¤ñ","X104¦Ñ¤Æ«ü¼Æ","X104§ß¨à¤ñ","X105§ß¾i¤ñ","X105§ß¥®¤ñ","X105§ß¦Ñ¤ñ","X105¦Ñ¤Æ«ü¼Æ","X105§ß¨à¤ñ","X106§ß¾i¤ñ","X106§ß¥®¤ñ","X106§ß¦Ñ¤ñ","X106¦Ñ¤Æ«ü¼Æ","X106§ß¨à¤ñ","X107§ß¾i¤ñ","X107§ß¥®¤ñ","X107§ß¦Ñ¤ñ","X107¦Ñ¤Æ«ü¼Æ","X107§ß¨à¤ñ","X108§ß¾i¤ñ","X108§ß¥®¤ñ","X108§ß¦Ñ¤ñ","X108¦Ñ¤Æ«ü¼Æ","X108§ß¨à¤ñ","X109§ß¾i¤ñ","X109§ß¥®¤ñ","X109§ß¦Ñ¤ñ","X109¦Ñ¤Æ«ü¼Æ","X109§ß¨à¤ñ","110§ß¾i¤ñ","110§ß¥®¤ñ","110§ß¦Ñ¤ñ","110¦Ñ¤Æ«ü¼Æ","110§ß¨à¤ñ"
"09007010-001",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","¤¶¹Ø§ø",30.27,18.45,11.82,64.05,10.7023411371237,30.88,18.98,11.89,62.65,10.6644332774986,31.66,18.82,12.84,68.25,10.7761027359017,31.47,17.67,13.8,78.06,10.6371191135734,34.62,18.95,15.67,82.69,11.6515837104072,34.567,18.481,16.087,86.9470000000001,11.4476672896935,35.496,18.45,17.048,92.2160000000001,11.6347843879576
"09007010-002",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","´_¿³§ø",32.61,19.65,12.97,66,10.3143418467583,33.79,20.5,13.28,64.8,10.5648535564854,33.37,19.66,13.71,69.73,11.0520722635494,32,17.79,14.21,79.88,11.0629067245119,34.47,18.48,15.99,86.5,11.7913832199546,33.827,17.701,16.123,90.2060000000001,11.9927522965777,34.02,17.196,16.82,95.8140000000002,12.3379658880196
"09007010-003",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","ºÖ¨U§ø",28.17,13.66,14.51,106.25,7.68136557610242,29.28,14.06,15.23,108.33,8.05270863836018,28.41,13.64,14.77,108.25,8.43881856540084,26.5,11.61,14.89,128.24,6.69398907103825,29.58,13.32,16.25,121.98,7.46705710102489,28.4,12.319,16.072,130.021,7.13058683514221,28.404,12.006,16.386,135.158,6.95185318339451
"09007010-004",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","²M¤ô§ø",29.47,21.6,7.87,36.42,13.7339055793991,31.46,23.56,7.9,33.52,14.5917001338688,30.72,23.01,7.71,33.51,13.8059701492537,29.63,21.62,8.01,37.04,13.1578947368421,29.14,20.8,8.34,40.11,13.4593993325918,29.337,21.056,8.281,39.39,13.1549286191987,29.088,20.702,8.386,40.48,12.9566468301346
"09007010-005",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","¤¯·R§ø",33.9,20.1,13.8,68.67,10.6537530266344,34.55,19.71,14.84,75.31,10.705596107056,32.07,16.63,15.44,92.86,10.4513064133017,34.52,18.33,16.19,88.31,11.4285714285714,34.74,17.14,17.61,102.74,10.093896713615,34.451,16.192,18.267,109.92,10.5476035464787,34.616,15.462,19.164,118.034,10.5079298160263
"09007010-006",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","¬z¨F§ø",26.67,9.33,17.33,185.71,6,27.61,9.09,18.52,203.7,6.73400673400673,26.49,8.04,18.45,229.63,5.05952380952381,28.32,9.14,19.17,209.68,4.12979351032448,32.24,10.15,22.09,217.65,5.37313432835821,31.821,9.65700000000001,22.163,230.232,4.3019083063529,33.006,9.82600000000001,23.18,237.218,3.91611384965631
"09007010-007",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","°¨¯ª§ø",30.28,18.34,11.94,65.12,10.0213219616205,28.32,15.9,12.42,78.08,9.15032679738562,27.02,14.47,12.55,86.76,9.36170212765957,25.67,12.63,13.04,103.28,8.2815734989648,28.03,12.56,15.47,123.21,8.74439461883408,25.719,10.331,15.388,133.704,8.08508140569481,25.004,8.84799999999998,16.156,147.842,7.74282060729544
"09007010-008",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","¯]Á³§ø",22.49,12.43,10.06,80.95,8.87573964497041,21.84,12.07,9.77,80.95,8.04597701149425,22.83,11.41,11.41,100,7.60869565217391,22.45,10.71,11.73,109.52,7.14285714285714,22.45,10.2,12.24,120,6.12244897959184,22.571,9.61799999999999,12.938,130.285,5.63623332639922,22.624,9.036,13.57,140.952,4.9952632064598
"09007010-009",9007,"³s¦¿¿¤",9007010,"«n¬ñ¶m","¥|ºû§ø",34.15,12.2,21.95,180,4.0650406504065,38.79,13.79,25,181.25,5.17241379310345,42.98,17.54,25.44,145,7.89473684210526,39.17,17.5,21.67,123.81,9.16666666666667,39.47,16.67,22.81,136.84,11.4035087719298,42.218,19.335,22.891,110.252,13.1418300798253,43.32,20.6,22.73,95.8759999999997,15.0089489914863
"09007020-001",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","¶í§Á§ø",27.41,15.52,11.89,76.64,9.06002265005663,27.82,14.71,13.1,89.06,8.96551724137931,28.69,14.63,14.05,96.03,8.94308943089431,30.73,14.45,16.28,112.7,8.37155963302752,28.56,12.86,15.7,122.13,8.00842992623815,30.205,12.76,17.444,133.698,7.86058085952255,30.726,12.202,18.524,145.16,7.59086655392368
